rosbagTimestamp,controller_name,log,-,name,stamp,secs,nsecs,values
1543504660238195571,'',,"""Drone1_pos""",,1543504660,238016388,"[1.0246825218200684, 0.008258718065917492, 0.03609181195497513]"
1543504660248932611,'',,"""Drone1_pos""",,1543504660,248785831,"[1.0246442556381226, 0.008122670464217663, 0.036207329481840134]"
1543504660257161981,'',,"""Drone1_pos""",,1543504660,256996587,"[1.0246490240097046, 0.00832068920135498, 0.03603491932153702]"
1543504660267272081,'',,"""Drone1_pos""",,1543504660,267141659,"[1.0246459245681763, 0.008400068618357182, 0.03593490645289421]"
1543504660277386789,'',,"""Drone1_pos""",,1543504660,277251162,"[1.0246657133102417, 0.008330762386322021, 0.03600706905126572]"
1543504660287172297,'',,"""Drone1_pos""",,1543504660,287047910,"[1.0246604681015015, 0.008077994920313358, 0.03622061759233475]"
1543504660297187906,'',,"""Drone1_pos""",,1543504660,297049146,"[1.0246247053146362, 0.0080293919891119, 0.03627801686525345]"
1543504660307223427,'',,"""Drone1_pos""",,1543504660,307025868,"[1.0246684551239014, 0.00828144233673811, 0.03607045114040375]"
1543504660317292619,'',,"""Drone1_pos""",,1543504660,317122240,"[1.0246738195419312, 0.008280501700937748, 0.03603526949882507]"
1543504660327106781,'',,"""Drone1_pos""",,1543504660,326933146,"[1.0246418714523315, 0.008354755118489265, 0.03593228757381439]"
1543504660337154504,'',,"""Drone1_pos""",,1543504660,337036182,"[1.0246269702911377, 0.00814433116465807, 0.036120422184467316]"
1543504660347075519,'',,"""Drone1_pos""",,1543504660,346925780,"[1.024678349494934, 0.00826111901551485, 0.036044370383024216]"
1543504660357262277,'',,"""Drone1_pos""",,1543504660,357056092,"[1.0246784687042236, 0.00833107903599739, 0.03601439669728279]"
1543504660367066523,'',,"""Drone1_pos""",,1543504660,366921316,"[1.0246809720993042, 0.008295387960970402, 0.036000657826662064]"
1543504660377167388,'',,"""Drone1_pos""",,1543504660,377005842,"[1.0246707201004028, 0.008345409296452999, 0.035962048918008804]"
1543504660387045732,'',,"""Drone1_pos""",,1543504660,386928562,"[1.0246169567108154, 0.008030111901462078, 0.036257553845644]"
1543504660397235299,'',,"""Drone1_pos""",,1543504660,397042788,"[1.0246591567993164, 0.008234246633946896, 0.036113057285547256]"
1543504660407145607,'',,"""Drone1_pos""",,1543504660,407003177,"[1.0246766805648804, 0.008311170153319836, 0.03601660951972008]"
1543504660417333530,'',,"""Drone1_pos""",,1543504660,417182172,"[1.0246611833572388, 0.008074871264398098, 0.036196161061525345]"
1543504660427036699,'',,"""Drone1_pos""",,1543504660,426862573,"[1.0246564149856567, 0.008073038421571255, 0.036217816174030304]"
1543504660437056146,'',,"""Drone1_pos""",,1543504660,436945093,"[1.0246775150299072, 0.008242465555667877, 0.03607386723160744]"
1543504660447271487,'',,"""Drone1_pos""",,1543504660,447086443,"[1.0246539115905762, 0.008337976410984993, 0.035946380347013474]"
1543504660457539130,'',,"""Drone1_pos""",,1543504660,457348533,"[1.0246717929840088, 0.008321914821863174, 0.03599504381418228]"
1543504660467106103,'',,"""Drone1_pos""",,1543504660,466979542,"[1.0246784687042236, 0.008298338390886784, 0.03600156679749489]"
1543504660477142570,'',,"""Drone1_pos""",,1543504660,476911931,"[1.0246564149856567, 0.008319703862071037, 0.03595862165093422]"
1543504660487409592,'',,"""Drone1_pos""",,1543504660,487235414,"[1.024616003036499, 0.008109018206596375, 0.03617071360349655]"
1543504660497154520,'',,"""Drone1_pos""",,1543504660,497006928,"[1.0246307849884033, 0.008353902958333492, 0.035974156111478806]"
1543504660507256862,'',,"""Drone1_pos""",,1543504660,507077927,"[1.024680733680725, 0.00834424328058958, 0.035987336188554764]"
1543504660517109238,'',,"""Drone1_pos""",,1543504660,516929283,"[1.0246837139129639, 0.008287087082862854, 0.03601410984992981]"
1543504660527268941,'',,"""Drone1_pos""",,1543504660,527014266,"[1.0246434211730957, 0.007994015701115131, 0.03626035898923874]"
1543504660537355759,'',,"""Drone1_pos""",,1543504660,537188026,"[1.0246628522872925, 0.008226362988352776, 0.03606340289115906]"
1543504660546976488,'',,"""Drone1_pos""",,1543504660,546887248,"[1.0246540307998657, 0.008369235321879387, 0.03597506880760193]"
1543504660557249701,'',,"""Drone1_pos""",,1543504660,557101942,"[1.024682879447937, 0.008329016156494617, 0.03601037710905075]"
